,Origin,Destination,Average Flight Time
187,ORD,BZN,274.46153846153845
188,PBI,ORD,273.44444444444446
189,BWI,DEN,273.09090909090907
190,ATL,DEN,272.6666666666667
191,EGE,EWR,271.3157894736842
192,PHL,DEN,270.7291666666667
193,LAX,MCO,270.3953488372093
194,LAX,IAD,268.47899159663865
195,EWR,STT,268.2857142857143
196,ORD,SFO,268.19555555555553
197,LAS,IAD,267.9795918367347
198,HNL,ORD,266.5111111111111
199,AUS,EWR,266.0
200,MIA,DEN,265.76
201,PIT,DEN,265.5853658536585
202,MEM,DEN,265.0
203,CVG,IAH,265.0
204,PSP,IAH,264.8125
205,CLT,IAH,264.57142857142856
206,ORD,PHX,263.60550458715596
207,IAH,SJU,262.06
208,PIT,IAH,261.6666666666667
209,ORD,PBI,261.44444444444446
210,ORD,LAX,260.63157894736844
211,DTW,IAH,260.0
212,SFO,MCO,259.2413793103448
213,IAH,HDN,258.75
214,DFW,EWR,258.54347826086956
215,LAX,EWR,258.028
216,SFO,CMH,258.0
217,SMF,IAH,257.9
218,BQN,EWR,257.82608695652175
219,SEA,ORD,257.61290322580646
220,ORD,SJU,257.3529411764706
221,SRQ,ORD,256.75
222,PHX,IAD,255.3913043478261
223,SJC,IAH,255.0
224,SFO,AUS,254.61666666666667
225,DEN,LGA,252.10434782608695
226,LAX,CLE,251.75
227,JAC,IAH,250.2
228,JAX,ORD,250.04761904761904
229,DEN,MIA,249.13636363636363
230,DEN,HNL,248.41666666666666
231,IAH,PHL,248.34285714285716
232,DEN,JAX,248.2
233,RSW,DEN,247.77777777777777
234,CVG,DEN,247.28571428571428
235,GEG,ORD,247.25
236,FLL,DEN,247.1509433962264
237,HNL,IAH,246.97727272727272
238,ORD,CLT,246.5
239,LGA,ORD,246.09944751381215
240,BWI,IAH,245.92857142857142
241,ORD,SLC,244.69444444444446
242,CMH,DEN,244.12820512820514
243,SAN,ORD,243.9090909090909
244,IAH,DCA,242.93333333333334
245,TPA,DEN,242.64912280701753
246,IAD,MSY,240.73333333333332
247,EGE,ORD,239.66666666666666
248,MSY,EWR,239.52727272727273
249,EGE,IAH,239.0
250,MCO,DEN,238.2391304347826
251,JAC,ORD,238.0
252,MSP,SFO,238.0
253,EWR,JAX,236.53846153846155
254,SNA,IAH,236.5
255,RIC,ORD,236.5
256,ORD,LAS,236.4296875
257,SFO,HNL,236.34459459459458
258,IAD,DEN,235.72173913043477
259,IAH,SLC,235.25
260,IAH,BOS,235.2
261,EWR,BQN,234.47826086956522
262,EWR,BNA,233.88
263,DCA,ORD,233.67441860465115
264,IAH,TUS,232.92307692307693
265,EWR,IAH,232.58536585365854
266,CLE,DEN,231.20967741935485
267,SLC,CLE,231.0
268,SJU,IAD,230.86206896551724
269,HDN,IAH,230.6875
270,PDX,ORD,230.53061224489795
271,DEN,BOS,230.3448275862069
272,HDN,EWR,229.0
273,IAH,CLE,228.52380952380952
274,DEN,EUG,228.0
275,GUC,IAH,226.5
276,IAD,IAH,226.01282051282053
277,CHS,ORD,225.15384615384616
